PARENTNAME,OWNER_NAME,OPER_NAME,PLANT_NAME,PHYS_CITY,P_COUNTY,UNIT_STATE,P_ST_NAME,P_COUNTRY,MARKET_REG,WORLD_REG,IND_CODE_DESC,SIC_CODE,PLANT_ID,UNIT_NAME,UNIT_ID,UNIT_TYPE,OUT_DESIGN,KO_DATE,STARTUP,STARTYEAR,SHUTDOWN,PRIM_FUEL,SECND_FUEL,FUEL_GROUP,HEAT_RATE,PWR_USAGE,U_STATUS,BOIL_NAME,BOILERTYPE,BMFR_NAME,BOIL_INFO,STEAM,STEAM_UOM,STEAM_TON,PRESSURE,PRES_UOM,PRES_BAR,TEMP,TEMP_UOM,TEMP_CEL,DESIGNFIRM,CONSTFIRM,MMBTU_HR,KO_YEAR,LATITUDE,LONGITUDE,COGEN_CHP
NRG Energy Incorporated,NRG Texas Power LLC,NRG Texas Power LLC,W A Parish Power Station,Thompsons,Fort Bend,TX,Texas,U.S.A.,Southwest,North America,Power,4931,1013212,W A Parish 05,1004014,Steam Turbine,649,,27-Dec-77,1977,,Coal Subbituminous,Natural Gas,Coal,10321,Base Load,Operational,Boiler 05,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB OFA SCR BAG,4745000,lbs/hr,2372.5,2620,PSIG,181,1005,deg F,541,Brown & Root,Brown & Root,,,29.4825,-95.631111,0
NRG Energy Incorporated,NRG Texas Power LLC,NRG Texas Power LLC,W A Parish Power Station,Thompsons,Fort Bend,TX,Texas,U.S.A.,Southwest,North America,Power,4931,1013212,W A Parish 06,1004016,Steam Turbine,649,,27-Dec-78,1978,,Coal Subbituminous,Natural Gas,Coal,10321,Base Load,Operational,Boiler 06,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB OFA SCR BAG,4745000,lbs/hr,2372.5,2620,PSIG,181,1005,deg F,541,Brown & Root,Brown & Root,,,29.4825,-95.631111,0
Duke Energy Corporation,Duke Energy Kentucky,Duke Energy Kentucky,East Bend Power Station #2,Union,Boone,KY,Kentucky,U.S.A.,Great Lakes,North America,Power,4911,1018350,East Bend 02,1006479,Steam Turbine,648.4,1-Jan-76,1-Mar-81,1981,,Coal Bituminous,,Coal,10263,Base Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB ESP-HS FGD-DS SCR,4750000,lbs/hr,2375,2620,PSIG,181,1005,deg F,541,Sargent & Lundy,,6313,1976,38.905757,-84.852744,0
Vistra Energy Corporation,Vistra Energy Corporation,Vistra Energy Corporation,Brayton Point Power Station,Somerset,Bristol,MA,Massachusetts,U.S.A.,New England,North America,Power,4931,1017731,Brayton Point 03,1007960,Steam Turbine,643,,1-Jul-69,1969,31-May-17,Coal Bituminous,Natural Gas,Coal,9582,Base Load,Removed,Boiler 03,Dry Bottom Boiler,Babcock & Wilcox,UP-52 PC Opposed-Fired LNB ESP-CS SCR Alstom NID Semi-Dry FGD,4050000,lbs/hr,2025,3675,PSIG,253,1000,deg F,538,Black & Veatch,Stone & Webster,5655,,41.711644,-71.192646,0
Berkshire Hathaway Incorporated,MidAmerican Energy Company,MidAmerican Energy Company,George Neal South Power Station,Salix,Woodbury,IA,Iowa,U.S.A.,Midwest,North America,Power,4911,1013065,George Neal South 04,1005485,Steam Turbine,640,,1-Jul-79,1979,,Coal Subbituminous,,Coal,10108,Intermediate Load,Operational,Boiler 04,Dry Bottom Boiler,Wood Foster Wheeler,SN:36-2405 PC Opposed-Fired OFA ESP-CS FGC (Alstom FGD-DS and Bag 10/2013)Fuel Tech SNCR,4515000,lbs/hr,2257.5,2875,PSIG,198,1005,deg F,541,Ebasco,Ebasco,,,42.304722,-96.362222,1
Dominion Energy Incorporated,Dominion Energy South Carolina Inc,Dominion Energy South Carolina Inc,A M Williams Power Station,Goose Creek,Berkeley,SC,South Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011828,A M Williams 01,1008421,Steam Turbine,632.7,,1-Jul-73,1973,30-Jun-28,Coal Bituminous,Coal Waste,Coal,9532,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB ESP-CS SCR FGD-WS,4600000,lbs/hr,2300,3675,PSIG,253,1005,deg F,541,Gilbert Associates,Fluor Daniel,,,33.01611,-79.92944,0
NextEra Energy Incorporated,Nextera Energy Wyman LLC,Nextera Energy Wyman LLC,William F Wyman Power Station (Wyman Energy Center),Yarmouth,Cumberland,ME,Maine,U.S.A.,New England,North America,Power,4931,1015663,William F Wyman 04 ST,1008362,Steam Turbine,632.4,,1-Dec-78,1978,,Fuel Oil No. 6 Residual,,Fuel Oil,10574,Peak Load,Operational,Boiler 04,Dry Bottom Boiler,Wood Foster Wheeler,PC Front-Fired FGR OFA ESP-CS,4400000,lbs/hr,2200,2875,PSIG,198,1005,deg F,541,Burns & Roe,,6290,,43.7508,-70.1567,0
CMS Energy Corporation,Consumers Energy,Consumers Energy,Dan E Karn Power Station #3 & #4,Essexville,Bay,MI,Michigan,U.S.A.,Great Lakes,North America,Power,4911,1012237,Dan E Karn 04,1004214,Steam Turbine,626.3,,1-Sep-77,1977,31-Dec-31,Natural Gas,Fuel Oil No. 6 Residual,Natural Gas,11967,Peak Load,Operational,Boiler 04,Watertube Boiler,Riley Stoker Corporation,Front-Fired LNB,4650000,lbs/hr,2325,1890,PSIG,130,955,deg F,513,Townsend & Bottum,,,,43.644996,-83.840074,0
"GenOn Energy, Incorporated","GenOn Energy, Incorporated","GenOn Energy, Incorporated",Morgantown Power Station,Newburg,Charles,MD,Maryland,U.S.A.,Mid Atlantic,North America,Power,4931,1012656,Morgantown 01,1006199,Steam Turbine,626,1-Apr-67,1-Jun-70,1970,1-Jun-22,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9244,Peak Load,Closed,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential ESP-CS FGC LNB SOFA SCR FGD-WS,4250000,lbs/hr,2125,3810,PSIG,263,1005,deg F,541,Black & Veatch,Bechtel Corporation,5317,1967,38.35942,-76.97608,0
"GenOn Energy, Incorporated","GenOn Energy, Incorporated","GenOn Energy, Incorporated",Morgantown Power Station,Newburg,Charles,MD,Maryland,U.S.A.,Mid Atlantic,North America,Power,4931,1012656,Morgantown 02,1006200,Steam Turbine,626,,1-Jun-71,1971,1-Jun-22,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9244,Intermediate Load,Closed,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Supercritical Tangential LNB SOFA ESP-CS SCR FGC FGD-WS,4500000,lbs/hr,2250,3810,PSIG,263,1005,deg F,541,Bechtel Corporation,Bechtel Corporation,5317,,38.35942,-76.97608,0
Ameren Corporation,Ameren Missouri,Ameren Missouri,Rush Island Power Station,Festus,Jefferson,MO,Missouri,U.S.A.,Midwest,North America,Power,4911,1013441,Rush Island 02,1004471,Steam Turbine,621,,1-Mar-77,1977,1-Jun-25,Coal Subbituminous,,Coal,10628,Base Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB AOFA ESP-CS FGC SN:21486,4100000,lbs/hr,2050,2625,PSIG,181,1000,deg F,538,Bechtel Corporation,Bechtel Corporation,5922,,38.131248,-90.263157,0
Ameren Corporation,Ameren Missouri,Ameren Missouri,Labadie Power Station,Labadie,Franklin,MO,Missouri,U.S.A.,Midwest,North America,Power,4911,1012835,Labadie 04,1005343,Steam Turbine,621,,1-Aug-73,1973,,Coal Subbituminous,,Coal,10493,Base Load,Operational,Boiler 04,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-CS FGC SN:CE20931 (FGD-2017),4284000,lbs/hr,2142,2400,PSIG,165,1000,deg F,538,Bechtel Corporation,Bechtel Corporation,6107,,38.562481,-90.837706,0
Ameren Corporation,Ameren Missouri,Ameren Missouri,Rush Island Power Station,Festus,Jefferson,MO,Missouri,U.S.A.,Midwest,North America,Power,4911,1013441,Rush Island 01,1004456,Steam Turbine,621,,1-Mar-76,1976,1-Jun-25,Coal Subbituminous,Natural Gas,Coal,10628,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB AOFA ESP-CS FGC - FGD (Planned) SN:21323,4080000,lbs/hr,2040,2625,PSIG,181,1000,deg F,538,Bechtel Corporation,Bechtel Corporation,5922,,38.131248,-90.263157,0
Castleton Commodities International LLC,CCI Roseton LLC,CCI Roseton LLC,Roseton Generating Facility,Newburgh,Orange,NY,New York,U.S.A.,Northeast,North America,Power,4931,1009027,Roseton 01,1004192,Steam Turbine,621,,1-Dec-74,1974,,Natural Gas,Fuel Oil No. 6 Residual,Natural Gas,9740,Peak Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,Tangentially-Fired FGR MC,4200000,lbs/hr,2100,2600,PSIG,179,1005,deg F,541,Burns & Roe,,,,41.571389,-73.974722,0
Castleton Commodities International LLC,CCI Roseton LLC,CCI Roseton LLC,Roseton Generating Facility,Newburgh,Orange,NY,New York,U.S.A.,Northeast,North America,Power,4931,1009027,Roseton 02,1004194,Steam Turbine,621,,1-Sep-74,1974,,Natural Gas,Fuel Oil No. 6 Residual,Natural Gas,9740,Peak Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,Tangentially Fired FGR MC,4200000,lbs/hr,2100,2600,PSIG,179,1005,deg F,541,Burns & Roe,,,,41.571389,-73.974722,0
Duke Energy Corporation,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Rogers Energy Complex,Mooresboro,Cleveland,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011738,J E Rogers 05,1004583,Steam Turbine,621,,1-Jun-72,1972,,Natural Gas,Coal Bituminous,Natural Gas,10038,Intermediate Load,Operational,Boiler 05,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB SOFA ESP-CS FGC SCR (FGD-WS 2010),4080000,lbs/hr,2040,2520,PSIG,174,1000,deg F,538,Duke/Fluor Daniel,,6080,,35.217637,-81.763701,0
WEC Energy Group,We Energies,We Energies,Pleasant Prairie Power Station,Pleasant Prairie,Kenosha,WI,Wisconsin,U.S.A.,Great Lakes,North America,Power,4911,1012915,Pleasant Prairie 01,1005900,Steam Turbine,616.6,,1-Jun-80,1980,3-Apr-18,Coal Subbituminous,Natural Gas,Coal,10577,Base Load,Closed,Boiler 01,Dry Bottom Boiler,Riley Stoker Corporation,PC Opposed-Fired LNB ESP-CS FGC (SCR FGD-WS 2006),4400000,lbs/hr,2200,1999,PSIG,138,1000,deg F,538,Sargent & Lundy,,6449,,42.53778,-87.90444,0
WEC Energy Group,We Energies,We Energies,Pleasant Prairie Power Station,Pleasant Prairie,Kenosha,WI,Wisconsin,U.S.A.,Great Lakes,North America,Power,4911,1012915,Pleasant Prairie 02,1005902,Steam Turbine,616.6,,1-Jul-85,1985,3-Apr-18,Coal Subbituminous,Natural Gas,Coal,10577,Base Load,Closed,Boiler 02,Dry Bottom Boiler,Riley Stoker Corporation,PC Opposed-Fired LNB ESP SCR (FGD-WS 2007),4400000,lbs/hr,2200,1999,PSIG,138,1000,deg F,538,Sargent & Lundy,,6449,,42.53778,-87.90444,0
"Commercial Liability Partners, LLC","Commercial Liability Partners, LLC","Commercial Liability Partners, LLC",Coffeen Power Station,Coffeen,Montgomery,IL,Illinois,U.S.A.,Great Lakes,North America,Power,4931,1015163,Coffeen 02,1005566,Steam Turbine,616.5,,1-Sep-72,1972,1-Nov-19,Coal Subbituminous,Coal Bituminous,Coal,10348,Base Load,Closed,Boiler 02,Wet Bottom Boiler,Babcock & Wilcox,PC Cyclone-Fired OFA SCR ESP-CS FGC (FGD-WS 2010),4159000,lbs/hr,2079.5,2400,PSIG,165,1005,deg F,541,Sargent & Lundy,Sargent & Lundy,5544,,39.05833,-89.40278,0
Omaha Public Power District,Omaha Public Power District,Omaha Public Power District,Nebraska City Power Station,Nebraska City,Otoe,NE,Nebraska,U.S.A.,Midwest,North America,Power,4911,1015152,Nebraska City 01,1008632,Steam Turbine,615.9,,1-Apr-79,1979,,Coal Subbituminous,Fuel Oil No. 2 Distillate Diesel,Coal,10344,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Wood Foster Wheeler,PC Opposed-Fired OFA ESP-CS (LNB/OFA 10/2010) (United Conveyor Corporation DSI - 12/2015),4500000,lbs/hr,2250,2875,PSIG,198,1005,deg F,541,,,,,40.6214,-95.7764,0
Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1009801,Cardinal 02,1003927,Steam Turbine,615.2,,1-Jul-67,1967,1-Dec-27,Coal Bituminous,,Coal,9847,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS (FGD-WS 2008),4035000,lbs/hr,2017.5,3500,PSIG,241,1000,deg F,538,Black & Veatch,,5275,,40.2522,-80.6486,0
Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1009801,Cardinal 01 ST,1003926,Steam Turbine,615.2,,1-Feb-67,1967,7-Dec-30,Coal Bituminous,,Coal,9847,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS (FGD-WS 2008),4035000,lbs/hr,2017.5,3500,PSIG,241,1050,deg F,566,Black & Veatch,,5275,,40.2522,-80.6486,0
American Electric Power Company Incorporated,AEP Generation Resources Incorporated,AEP Generation Resources Incorporated,Muskingum River Power Station,Waterford,Washington,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1500865,Muskingum River 05,1003925,Steam Turbine,615.2,,1-Oct-68,1968,31-May-15,Coal Bituminous,,Coal,9767,Base Load,Removed,Boiler 05,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS (FGD-WS Planned),4035000,lbs/hr,2017.5,3500,PSIG,241,1050,deg F,566,American Electric Power,American Electric Power,,,39.588625,-81.685947,0
Lower Colorado River Authority,Lower Colorado River Authority,Lower Colorado River Authority,Fayette Power Station,La Grange,Fayette,TX,Texas,U.S.A.,Southwest,North America,Power,4911,1000064,Fayette 02 ST,1004308,Steam Turbine,615,,1-May-80,1980,,Coal Subbituminous,Coal Lignite,Coal,9700,Base Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired OFA ESP-CS ACIS (FGD-2009),4199000,lbs/hr,2099.5,2400,PSIG,165,1000,deg F,538,Bechtel Corporation,Brown & Root,,,29.91508,-96.75394,0
Lower Colorado River Authority,Lower Colorado River Authority,Lower Colorado River Authority,Fayette Power Station,La Grange,Fayette,TX,Texas,U.S.A.,Southwest,North America,Power,4911,1000064,Fayette 01 ST,1004307,Steam Turbine,615,,16-Jun-79,1979,,Coal Subbituminous,Coal Lignite,Coal,9800,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential/Concentric-Fired OFA LNB ESP-CS ACIS (FGD-2009),4199000,lbs/hr,2099.5,2640,PSIG,182,1005,deg F,541,Bechtel Corporation,Brown & Root,,,29.91508,-96.75394,0
Entergy Corporation,Entergy Gulf States Louisiana LLC,Entergy Gulf States Louisiana LLC,Roy S Nelson Power Station,Westlake,Calcasieu,LA,Louisiana,U.S.A.,Southwest,North America,Power,4911,1506337,Roy S Nelson 06,1004723,Steam Turbine,615,,1-May-82,1982,25-Dec-23,Coal Subbituminous,Fuel Oil No. 2 Distillate Diesel,Coal,10775,Intermediate Load,Operational,Boiler 06,Wet Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,"PC Tangential-Fired OFA ESP-HS BAG (FGD, SCR-2017) (Alstom ACI-4/2015)",4199000,lbs/hr,2099.5,2620,PSIG,181,1005,deg F,541,Bechtel Corporation,Bechtel Corporation,6216,,30.283333,-93.288611,0
CLECO Corporation,Cleco Cajun LLC,Cleco Cajun LLC,Big Cajun II Power Station,New Roads,Pointe Coupee,LA,Louisiana,U.S.A.,Southwest,North America,Power,4931,1005163,Big Cajun II 01,1004082,Steam Turbine,611,,1-Jun-81,1981,,Coal Subbituminous,,Coal,9950,Peak Load,Operational,Boiler 01,Dry Bottom Boiler,Riley Stoker Corporation,PC Opposed/Turbo-Fired LNB ESP-CS (Fuel Tech SNCR 3-2014) (ADA ACI-11/2014,4300000,lbs/hr,2150,2620,PSIG,181,1005,deg F,541,Brown & Root,,6420,,30.7263,-91.3686,0
CLECO Corporation,Cleco Cajun LLC,Cleco Cajun LLC,Big Cajun II Power Station,New Roads,Pointe Coupee,LA,Louisiana,U.S.A.,Southwest,North America,Power,4931,1005163,Big Cajun II 03,1004084,Steam Turbine,611,,1-Dec-83,1983,,Coal Subbituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9800,Intermediate Load,Operational,Boiler 03,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed/Turbo-Fired LNB AOFA ESP-CS (SNCR/ACI-2015),4375000,lbs/hr,2187.5,2620,PSIG,181,1005,deg F,541,Brown & Root,,6420,,30.7263,-91.3686,0
AES Corporation,AES Ohio,Dayton Power & Light Company,J M Stuart Generating Station,Aberdeen,Brown,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1018004,J M Stuart 02,1003906,Steam Turbine,610.2,,1-Oct-70,1970,31-May-18,Coal Bituminous,,Coal,9490,Base Load,Closed,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-HS FGC (FGD-WS-JBR-2008),4400000,lbs/hr,2200,3500,PSIG,241,1000,deg F,538,Black & Veatch,Ebasco,5649,,38.6361,-83.6939,0
AES Corporation,AES Ohio,Dayton Power & Light Company,J M Stuart Generating Station,Aberdeen,Brown,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1018004,J M Stuart 04,1003908,Steam Turbine,610.2,,1-Jun-74,1974,31-May-18,Coal Bituminous,,Coal,9490,Base Load,Closed,Boiler 04,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-HS FGC (FGD-WS-JBR-2008),4400000,lbs/hr,2200,3500,PSIG,241,1000,deg F,538,Ebasco,,5649,,38.6361,-83.6939,0
AES Corporation,AES Ohio,Dayton Power & Light Company,J M Stuart Generating Station,Aberdeen,Brown,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1018004,J M Stuart 03,1003907,Steam Turbine,610.2,,1-May-72,1972,31-May-18,Coal Bituminous,,Coal,9490,Base Load,Closed,Boiler 03,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-HS FGC (FGD-WS-JBR-2008),4400000,lbs/hr,2200,3500,PSIG,241,1000,deg F,538,Ebasco,,5649,,38.6361,-83.6939,0
AES Corporation,AES Ohio,Dayton Power & Light Company,J M Stuart Generating Station,Aberdeen,Brown,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1018004,J M Stuart 01,1003905,Steam Turbine,610.2,,1-May-71,1971,10-Jan-17,Coal Bituminous,,Coal,9490,Base Load,Closed,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Supercritical Opposed-Fired LNB SCR ESP-HS FGC (FGD-WS-JBR-2008),4400000,lbs/hr,2200,3500,PSIG,241,1000,deg F,538,Ebasco,Ebasco,5649,,38.6361,-83.6939,0
NRG Energy Incorporated,NRG Texas Power LLC,NRG Texas Power LLC,W A Parish Power Station,Thompsons,Fort Bend,TX,Texas,U.S.A.,Southwest,North America,Power,4931,1013212,W A Parish 08,1004019,Steam Turbine,610,,1-Dec-82,1982,,Coal Subbituminous,,Coal,10321,Base Load,Operational,Boiler 08,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired AOFA LNB SCR BAG FGD-WS,4199000,lbs/hr,2099.5,2620,PSIG,181,1005,deg F,541,Bechtel Corporation,,,,29.4825,-95.631111,0
Rainbow Energy Marketing Corporation,Rainbow Energy Center LLC,Rainbow Energy Center LLC,Coal Creek Power Station,Underwood,McLean,ND,North Dakota,U.S.A.,Midwest,North America,Power,4911,1015427,Coal Creek 01,1007286,Steam Turbine,605,,1-Jun-79,1979,,Coal Lignite,Fuel Oil No. 2 Distillate Diesel,Coal,11523,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired SOFA LNB ESP-CS FGD-WS (8 Burners 8 Pulverizers) (SNCR-2015/2016),3370000,lbs/hr,1685,2520,PSIG,174,1005,deg F,541,Black & Veatch,Black & Veatch,6015,,47.37775,-101.15683,0
CMS Energy Corporation,Consumers Energy,Consumers Energy,Dan E Karn Power Station #3 & #4,Essexville,Bay,MI,Michigan,U.S.A.,Great Lakes,North America,Power,4911,1012237,Dan E Karn 03,1004213,Steam Turbine,605,,1-Jan-75,1975,31-Dec-31,Natural Gas,,Natural Gas,10878,Peak Load,Operational,Boiler 03,Watertube Boiler,Riley Stoker Corporation,Front-Fired LNB,4650000,lbs/hr,2325,1800,PSIG,124,950,deg F,510,,,,,43.644996,-83.840074,0
Rainbow Energy Marketing Corporation,Rainbow Energy Center LLC,Rainbow Energy Center LLC,Coal Creek Power Station,Underwood,McLean,ND,North Dakota,U.S.A.,Midwest,North America,Power,4911,1015427,Coal Creek 02,1007287,Steam Turbine,605,,1-Sep-80,1980,,Coal Lignite,Fuel Oil No. 2 Distillate Diesel,Coal,11403,Base Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired OFA LNB ESP-CS FGD-WS (8 Burners 8 Pulverizers) (SNCR-2015/2016),3764000,lbs/hr,1882,2520,PSIG,174,1005,deg F,541,Black & Veatch,Black & Veatch,6022,,47.37775,-101.15683,0
NRG Energy Incorporated,GenOn Bowline LLC,GenOn Bowline LLC,Bowline Point Generating Station,West Haverstraw,Rockland,NY,New York,U.S.A.,Northeast,North America,Power,4931,1008801,Bowline 02,1006100,Steam Turbine,600,,1-May-74,1974,,Natural Gas,Fuel Oil No. 6 Residual,Natural Gas,10970,Peak Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,RB-488 Opposed Wall-Fired 32 Burners Off-Stoichiometric Firing OFA FGR,3989000,lbs/hr,1994.5,2440,PSIG,168,1000,deg F,538,Bechtel Corporation,Bechtel Corporation,5374,,41.20511,-73.96722,0
Santee Cooper,Santee Cooper,Santee Cooper,Cross Generating Station,Pineville,Berkeley,SC,South Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011896,Cross 03,1018935,Steam Turbine,600,23-Feb-04,2-Jan-07,2007,,Coal Bituminous,Petroleum Coke,Coal,9876,Intermediate Load,Operational,Boiler 03,Dry Bottom Boiler,GE ALSTOM Heritage,PC Tangential-Fired LNB SCR FGD-WS ESP-CS (DSI-2017),3940000,lbs/hr,1970,,PSIG,,,deg F,,WorleyParsons Limited,WorleyParsons Limited,,2004,33.369635,-80.112105,0
Associated Electric Cooperative Incorporated,Associated Electric Cooperative Incorporated,Associated Electric Cooperative Incorporated,New Madrid Power Station,Marston,New Madrid,MO,Missouri,U.S.A.,Midwest,North America,Power,4911,1013251,New Madrid 01,1004788,Steam Turbine,600,,1-Dec-72,1972,,Coal Subbituminous,,Coal,10050,Base Load,Operational,Boiler 01,Wet Bottom Boiler,Babcock & Wilcox,PRB Subcritical Cyclone-Fired SCR ESP-CS OFA (DSI-2016),4300000,lbs/hr,2150,2520,PSIG,174,1000,deg F,538,Burns & McDonnell,Burns & McDonnell,7150,,36.5147,-89.5617,0
American Electric Power Company Incorporated,Southwestern Electric Power Company,Southwestern Electric Power Company,John W Turk Jr. Power Station,Fulton,Hempstead,AR,Arkansas,U.S.A.,Southwest,North America,Power,4911,1069684,John W Turk 01,1040167,Steam Turbine,600,1-Dec-08,20-Dec-12,2012,,Coal Subbituminous,Natural Gas,Coal,8728,Base Load,Operational,Boiler 01,Wet Bottom Boiler,Babcock & Wilcox,Series 98 Arch-Fired Pulverizers Ultrasupercritical DRB-4Z LNB OFA SCR BAG-PJ FGD-DS ACIS,4419400,lbs/hr,2209.7,3789,PSIG,261,1126,deg F,608,"Shaw Group, Inc.","Shaw Group, Inc.",,2008,33.650986,-93.811595,0
Associated Electric Cooperative Incorporated,Associated Electric Cooperative Incorporated,Associated Electric Cooperative Incorporated,New Madrid Power Station,Marston,New Madrid,MO,Missouri,U.S.A.,Midwest,North America,Power,4911,1013251,New Madrid 02,1004793,Steam Turbine,600,,1-Jun-77,1977,,Coal Subbituminous,,Coal,10050,Base Load,Operational,Boiler 02,Wet Bottom Boiler,Babcock & Wilcox,PRB Subcritical Cyclone-Fired SCR ESP-CS OFA (DSI-2016),4300000,lbs/hr,2150,2520,PSIG,174,1000,deg F,538,Burns & McDonnell,Burns & McDonnell,7150,,36.5147,-89.5617,0
American Electric Power Company Incorporated,Southwestern Electric Power Company,Southwestern Electric Power Company,John W Turk Jr. Power Station,Fulton,Hempstead,AR,Arkansas,U.S.A.,Southwest,North America,Power,4911,1069684,John W Turk 01,1040167,Steam Turbine,600,1-Dec-08,20-Dec-12,2012,,Coal Subbituminous,Natural Gas,Coal,8728,Base Load,Operational,Start Up Boiler,Watertube Boiler,Babcock & Wilcox,Single Burner Front-Fired LNB FGR,340000,lbs/hr,170,250,PSIG,17,,deg F,,,,,2008,33.650986,-93.811595,0
Xcel Energy Incorporated,Xcel Energy Incorporated,Xcel Energy Incorporated,Allen S King Power Station,Oak Park Heights,Washington,MN,Minnesota,U.S.A.,Midwest,North America,Power,4911,1015043,Allen S King 01,1006430,Steam Turbine,598.4,,1-Mar-58,1958,31-May-28,Coal Subbituminous,Petroleum Coke,Coal,10100,Intermediate Load,Operational,Boiler 01,Wet Bottom Boiler,Babcock & Wilcox,Cyclone-Fired OFA ESP-CS FGD-DS SCR BAG (cyclones replaced in 2006),4086000,lbs/hr,2043,3500,PSIG,241,1000,deg F,538,Black & Veatch,,,,45.03,-92.7786,0
NRG Energy Incorporated,NRG Energy Incorporated,NRG Energy Incorporated,Will County Power Station,Romeoville,Will,IL,Illinois,U.S.A.,Great Lakes,North America,Power,4931,1014372,Will County 04,1006732,Steam Turbine,598.4,,1-Jun-63,1963,8-Aug-22,Coal Subbituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9423,Intermediate Load,Closed,Boiler 04,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-HS ACIS (SNCR-2013) (Trona Inj-2014),3900000,lbs/hr,1950,2400,PSIG,165,1000,deg F,538,Sargent & Lundy,,5016,,41.633578,-88.062282,0
Dominion Energy Incorporated,Dominion Virginia Power,Dominion Virginia Power,Mount Storm Power Station,Mount Storm,Grant,WV,West Virginia,U.S.A.,Mid Atlantic,North America,Power,4911,1012617,Mount Storm 02,1008144,Steam Turbine,598,,1-Jul-66,1966,,Coal Bituminous,,Coal,9776,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,CCRRDP 60 PC Tangential-Fired LNB OFA ESP-CS FGD-WS SCR (ACIS-DSI 2015),3785000,lbs/hr,1892.5,2620,PSIG,181,1000,deg F,538,Stone & Webster,,5779,,39.201032,-79.263349,0
